page_id,title,gemini_classification,coherence_score,kg_matched_categories,kg_matched_entities,content_excerpt,expert_verdict,notes
page_0035,Application waves for CCG authorisation | NHS England,NHS Screening Services,0.0,,,Each of the 211 proposed clinical commissioning groups have agreed a place in one of four waves for their authorisation applications. The waves are: Wave 1 NHS Bassetlaw CCG NHS Blackpool CCG NHS Bedfordshire CCG NHS Calderdale CCG NHS Cumbria CCG NHS Dudley CCG NHS East and North Herts CCG NHS East Leicestershire & Rutland CCG NHS East Riding CCG NHS Gloucestershire CCG NHS Great Yarmouth and Waveney CCG NHS Islington CCG NHS Kernow CCG (Cornwall) NHS Kingston CCG NHS Leicester City CCG NHS New,,
page_0289,Three Non-Executive Directors appointed | Health Education England,Health academia,0.0,,,"Shirley Pearce, Kate Nealon and Ann Abraham have today been confirmed as Non Executive Directors of Health Education England. They will join Health Education England, the organisation that will provide national leadership to the new system of education and training in healthcare. This new system will give employers greater responsibility and accountability for planning and developing the workforce, within a national framework that is professionally informed and underpinned by strong academic lin",,
page_0373,NHS Commissioning Board Authority at the NHS Confederation Annual Conference | NHS England,NHS Screening Services,0.0,,,"The Secretary of State for Health, Andrew Lansley with Jane Cummings, Chief Nursing Officer on our stand The NHS CBA are at the NHS Confederation annual conference and exhibition this week. If you’re visiting the conference, please come along and see us on stand D32, where we’ll be running regular eXhibition eXchange sessions during the main breaks, covering the following topics: Commissioning Outcomes Framework Clinical networks and senates Commissioning Development Commissioning Support CCG au",,
page_0378,NHS England » New director appointments to the NHS Commissioning Board,NHS Screening Services,0.0,,,"15 June 2012 - 15:50 Lord Adebowale, Margaret Casely-Hayford, Dame Moira Gibb and Naguib Kheraj have today been confirmed as four new Non-Executive Directors of the NHS Commissioning Board. Health Secretary Andrew Lansley said: “I am delighted to announce these new appointments to the NHS Commissioning Board. All of them have a track record of success and will bring a diverse range of skills and experience to the Board. Their expertise will benefit the NHS and help ensure that patients get the h",,
page_0379,NHS England » New director appointments to the NHS Commissioning Board,NHS Screening Services,0.0,,,"Lord Adebowale, Margaret Casely-Hayford, Dame Moira Gibb and Naguib Kheraj have today been confirmed as four new Non-Executive Directors of the NHS Commissioning Board. Health Secretary Andrew Lansley said: “I am delighted to announce these new appointments to the NHS Commissioning Board. All of them have a track record of success and will bring a diverse range of skills and experience to the Board. Their expertise will benefit the NHS and help ensure that patients get the high quality care that",,
page_0398,NHS England » Business as usual,Personalised care,0.0,,,"In June 2017, Louise Watson became director of the new care models programme at NHS England and is leading on their implementation as outlined in the NHS Five Year Forward View . Louise shares her thoughts on the programme as it enters its third year. I’m really thrilled to take on the mantle of new care models programme director in such a crucial year for the programme. I have been involved with the programme since March 2015 and it has been fantastic to be able to support the vanguards as they",,
page_0455,The birth notification process - NHS Digital,NHS Screening Services,0.0,,,Part of Birth Notification Application guide for child health The birth notification process This is part 4 of the Birth Notification Application (BNA) guide for child health. Previous Chapter Allocate or notify Current Chapter Current chapter – The birth notification process View all Next Chapter Listing and viewing birth notifications Page contents Summary This is part 4 of the Birth Notification Application (BNA) guide for child health. Step 1 – Find the Mother It is very important that you a,,
page_0468,Supplier status: 999 AST to CAS for validation - NHS Digital,NHS Screening Services,0.0,,,"Supplier status: 999 AST to CAS for validation See which IT system suppliers currently offer the Booking and Referral Standard (BaRS) for 'Referral into UEC for validation (Application 4)'. For those still implementing the Standard in their systems you can see the status of their implementation. Page contents As a healthcare provider, you may be interested to see whether your current IT system supplier offers this capability or is working towards providing it. Alternatively, you may want to purc",,
page_0127,Home - NHS Digital,NHS Screening Services,0.347,Clinical discipline,surgery,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe We collect data from GP practices to help support care and research. Find out about our new way of collecting this data, and what your choices are. 3 billion firewall transactions a day We actively monitor and protect devices across the NHS and work directly with local teams in response to cyber t",,
page_0321,Health Education England » Postgraduate Dean receives award for surgical education and training,Health academia,0.36,Tags; National priorities,professions; professional; professionals; profession,"9 September 2013 - 13:48 The Postgraduate Dean of Severn Postgraduate Medical Education, Professor Davinder Sandhu, has been awarded the Bruce Medal in recognition of the contribution he has made to the advancement of surgical education. The Bruce Medal was established by The Royal College of Surgeons of Edinburgh in 1966 in memory of a former President, the late Sir John Bruce. It is awarded from time to time to a Fellow of the College to recognise a major contribution to surgical knowledge or ",,
